pollinator,rank,notes
Dialictus marinus,species,
Dialictus sp. 1,morphospecies,
Augochlorella striata,species,
Bombus rufocinctus,species,
Dialictus sp. C,morphospecies,
14 bees other than apidae,morphospecies,
Dialictus pilosus,species,
Osmia atriventris,species,
Andrena nuda,species,
Megachile texana,species,
Dialictus sp2,morphospecies,
Exomalopsis analis...61,species,
Geotrigona sp,genus,
Trigona spp..,genus,
Xylocopa,genus,
Geotrigona subterranea,species,
Melipona quadrifasciata anthidioides,species,
Andrena minutula-aggregate,morphospecies,
Apis melifera,species,
Bombus terrestris-aggregate,morphospecies,
Melanostoma spec,genus,
Scaeva pyrastri,species,
Sphaerophoria spec,genus,
Bombus_hortulanus,species,
Bombus.atratus,species,
Bombus.melaleucus,species,
Thygater,genus,
Hymenoptera.(wasps),suborder,
Bombus.hortulanus,species,
Anthophora furcata,species,
Dasypoda altercator,species,
Eristalis pertimax,species,
Lasioglossum zonulum,species,
Tabanus bovine,species,
Atylotus rusticus,species,
Chloromyia formosa,species,
Andrena coitana,species,
Specodes reticulates,species,
Apidae,family,
Hylaeus brevicornis,species,
Systoechus ctenopterus,species,
Andrena nigriceps,species,
Scathophaga stercoratia,species,
Specodes puncticeps,species,
Gymnosoma sp.,genus,
Helophillus trivittatus,species,
Rhagio tringarius,species,
Evylaeus villosulus,species,
Volucella pelluceris,species,
Evylaeus sextrigatus,species,
Haemmatopota plurails,species,
Talmerus atricapillus,species,
Psithyrus silvestris,species,
Psythirus bohemicus,species,
Seladonia tumulorum,species,
Chrysotus sp.,genus,
Myiatropa florea,species,
Lasioglossum leucozonium,species,
Rhangio tringarius,species,
Bombus veteranus,species,
Chloromyia fromosa,species,
Haematopora pluralis,species,
Anthomyiidae sp5,morphospecies,
Bibionidae sp1,morphospecies,
Eristalis picea,species,
Pieris napi,species,
Platycheirus Scambus,species,
Andrena sp1,morphospecies,
Andrena sp3,morphospecies,
Empididae sp1,morphospecies,
Muscidae sp3,morphospecies,
Muscidae sp5,morphospecies,
Parasyrphus annulatus,species,
Platycheirus peltatus,species,
Stratiomydae sp1,morphospecies,
Anthomyiidae sp4,morphospecies,
Cantharis obscura,species,
Ceratina sp1,morphospecies,
Epistrophe grossulariae,species,
Muscidae sp1,morphospecies,
Muscidae sp2,morphospecies,
Muscidae sp7,morphospecies,
Pachyprotasis rapae,species,
Scathophaga sp1,morphospecies,
Rhagionidae sp1,morphospecies,
Agromyzidae sp1,morphospecies,
Anthomyiidae sp1,morphospecies,
Anthomyiidae sp2,morphospecies,
Anthomyiidae sp3,morphospecies,
Megasyrphus erraticus,species,
Muscidae sp6,morphospecies,
